date,F_Momentum,long_ret,short_ret,n_long,n_short,n_universe
2000-06-30,-0.012815676021139533,-0.006011424679461631,0.006804251341677902,93,93,466
2000-07-31,-0.05503065048717055,0.0556300083835257,0.11066065887069625,93,93,469
2000-08-31,0.09714277263225903,0.020748116843770443,-0.07639465578848859,94,94,474
2000-09-30,-0.0066020035793596795,0.0022340598632922355,0.008836063442651915,94,94,474
2000-10-31,0.04095060318770215,-0.053179177133222205,-0.09412978032092435,95,95,475
2000-11-30,0.04264307685024894,0.07323704476842634,0.0305939679181774,94,94,472
2000-12-31,-0.2972399322508567,-0.08424696974164024,0.21299296250921645,95,95,479
2001-01-31,0.16809868516033197,0.014238766608282475,-0.1538599185520495,96,96,481
2001-02-28,0.05963094912049906,-0.038876972062482223,-0.09850792118298128,96,96,482
2001-03-31,-0.11451004967974757,0.06249480569829297,0.17700485537804053,96,96,483
2001-04-30,0.019253155136938455,0.0344896387932403,0.015236483656301847,97,97,486
2001-05-31,-0.001661379563803498,-0.023741214590813277,-0.02207983502700978,98,98,490
2001-06-30,0.018488415464714403,-0.006774829757085742,-0.025263245221800144,98,98,491
2001-07-31,0.0294609683917163,-0.027682901485909354,-0.05714386987762565,99,99,496
2001-08-31,0.053644394667550985,-0.0947310535042455,-0.1483754481717965,99,99,496
2001-09-30,-0.07428820780584988,0.036119811993908284,0.11040801979975817,98,98,491
2001-10-31,-0.10456669483240127,0.030223462075454646,0.13479015690785592,98,98,493
2001-11-30,-0.020432232780340953,0.0317611320455089,0.05219336482584985,99,99,497
2001-12-31,0.030530572612292924,0.007526059237267102,-0.02300451337502582,99,99,497
2002-01-31,0.01262435891960957,-0.014558013327123762,-0.02718237224673333,99,99,498
2002-02-28,-0.05420251759069114,0.0427197503423907,0.09692226793308184,98,98,493
2002-03-31,0.10016456474065577,0.006257910267850252,-0.09390665447280552,100,100,500
2002-04-30,-0.02948725538884512,-0.04142859165784521,-0.01194133626900009,98,98,494
2002-05-31,0.045844546258439506,-0.05877708791662101,-0.10462163417506051,98,98,490
2002-06-30,-0.01409974217451096,-0.12186179570488771,-0.10776205353037675,98,98,491
2002-07-31,-0.001001627925120673,0.003204047923657581,0.004205675848778254,97,97,489
2002-08-31,0.08655278343568082,-0.029817047748322858,-0.11636983118400368,98,98,492
2002-09-30,-0.07478915148621058,0.005463950806950834,0.08025310229316142,97,97,485
2002-10-31,-0.2033138671064742,-0.0006913933376104764,0.20262247376886372,98,98,491
2002-11-30,0.03420451966416336,-0.033275254889867996,-0.06747977455403135,99,99,499
